REF_ORDER_NUMBER,DISTRIBUTOR_CODE,ORDER_STATUS,DELIVERY_DATE,CANCELLED_DATE,ORDER_NOTE
SW87984,1000104,1,2025-01-30 23:59:59,,Import order
SW87985,1000104,1,2025-01-30 23:59:59,,Import order
SW87986,1000104,1,2025-01-30 23:59:59,,Import order
