2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,10786173915790712,1,2025-02-10 10:25:07,1057357,76036,N,12,1,0,593898,7126776,8,570142.08,593898,N,N,,N,Y,0,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,10786173915790713,2,2025-02-10 10:25:07,1057357;1056754,29044,N,12,1,0,775833,9309996,8,744799.68,775833,N,N,,Y,Y,0;0,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,11608023,3,2025-02-10 10:25:07,1056754,L2424,N,3,3,0,0,0,0,0,0,N,Y,10786173915790713,Y,N,0,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,10786173915790714,4,2025-02-10 10:25:07,1057357,89016,N,24,1,0,364778,8754672,8,700373.76,364778,N,N,,N,Y,0,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,10786173915790715,5,2025-02-10 10:25:07,1057357;1056756,89013,N,12,1,0,781278,9375336,8,750026.88,781278,N,N,,Y,Y,0;0,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,11608026,6,2025-02-10 10:25:07,1056756,E2439,N,4,4,0,0,0,0,0,0,N,Y,10786173915790715,Y,N,0,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,10786173915790716,7,2025-02-10 10:25:07,1057357;1057447,77010,N,240,5,0,15540,3729600,8,298368,15540,Y,N,,Y,Y,0;298367.59,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,10786173915790717,8,2025-02-10 10:25:07,1057357;1057449,35027,N,480,10,0,19850,9528000,8,762240,19850,Y,N,,Y,Y,0;762239.81,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,11608029,9,2025-02-10 10:25:07,1057447,,Y,1,0,1,298367.59,298367.59,8,23869.41,0,N,N,,Y,Y,298367.59,,1000104,
2506046662473,Promotion Order,,VC_12373747_4,1002207,100089967,80409,809,1859,11608030,10,2025-02-10 10:25:07,1057449,,Y,1,0,1,762239.81,762239.81,8,60979.18,0,N,N,,Y,Y,762239.81,,1000104,
